Model,ROC-AUC,F1-Score,F2-Score,Precision,Recall
CatBoost,0.9916039002744205,0.5316455696202531,0.5898876404494382,0.45652173913043476,0.6363636363636364
Neural Network,0.9779179073976763,0.36231884057971014,0.5274261603375527,0.23809523809523808,0.7575757575757576
Ensemble,0.9874000116774684,0.5316455696202531,0.5898876404494382,0.45652173913043476,0.6363636363636364
