iter	Passed	Remaining
405	6225	24443
406	6238	24417
407	6251	24394
408	6265	24370
409	6278	24349
410	6293	24331
411	6305	24303
412	6319	24283
413	6331	24254
414	6345	24235
415	6362	24226
416	6377	24209
417	6391	24190
418	6405	24168
419	6418	24147
420	6431	24120
421	6444	24100
422	6459	24080
423	6473	24061
424	6486	24038
425	6498	24012
426	6511	23988
427	6525	23966
428	6540	23950
429	6554	23931
430	6568	23913
431	6584	23897
432	6599	23884
433	6615	23870
434	6631	23857
435	6649	23851
436	6664	23838
437	6679	23821
438	6694	23803
439	6711	23794
440	6727	23781
441	6744	23772
442	6764	23775
443	6784	23775
444	6804	23777
445	6823	23774
446	6842	23771
447	6857	23756
448	6871	23735
449	6886	23720
450	6900	23700
451	6915	23684
452	6932	23672
453	6947	23657
454	6963	23643
455	6975	23618
456	6987	23591
457	6999	23566
458	7014	23548
459	7027	23526
460	7039	23499
461	7050	23471
462	7061	23440
463	7074	23417
464	7087	23396
465	7099	23369
466	7112	23349
467	7128	23334
468	7144	23322
469	7158	23303
470	7171	23279
471	7186	23265
472	7199	23243
473	7213	23221
474	7224	23195
475	7239	23179
476	7252	23155
477	7263	23126
478	7275	23101
479	7291	23088
480	7303	23063
481	7315	23039
482	7328	23017
483	7341	22995
484	7354	22973
485	7366	22947
486	7380	22928
487	7391	22903
488	7406	22887
489	7419	22863
490	7432	22843
491	7446	22824
492	7456	22792
493	7467	22766
494	7481	22746
495	7495	22729
496	7505	22699
497	7521	22686
498	7535	22666
499	7553	22661
500	7569	22648
501	7584	22632
502	7596	22607
503	7610	22591
504	7627	22581
505	7640	22560
506	7650	22528
507	7665	22514
508	7680	22498
509	7693	22476
510	7702	22445
511	7716	22426
512	7728	22402
513	7741	22381
514	7751	22351
515	7763	22327
516	7776	22305
517	7786	22277
518	7797	22251
519	7811	22233
520	7828	22222
521	7841	22201
522	7857	22191
523	7873	22178
524	7889	22165
525	7906	22156
526	7922	22144
527	7935	22123
528	7955	22121
529	7969	22105
530	7986	22094
531	8004	22088
532	8028	22096
533	8045	22087
534	8060	22073
535	8076	22059
536	8091	22044
537	8107	22031
538	8122	22016
539	8135	21996
540	8147	21973
541	8162	21958
542	8176	21938
543	8189	21919
544	8204	21903
545	8219	21888
546	8232	21867
547	8241	21837
548	8252	21811
549	8262	21782
550	8276	21764
551	8290	21746
552	8303	21728
553	8315	21705
554	8329	21685
555	8340	21661
556	8351	21636
557	8364	21616
558	8379	21600
559	8391	21577
560	8405	21560
561	8419	21541
562	8432	21521
563	8444	21499
564	8453	21471
565	8466	21449
566	8482	21438
567	8493	21412
568	8506	21393
569	8516	21364
570	8531	21351
571	8544	21332
572	8557	21310
573	8566	21282
574	8579	21261
575	8590	21238
576	8601	21212
577	8614	21194
578	8628	21177
579	8642	21159
580	8654	21136
581	8666	21115
582	8676	21087
583	8688	21065
584	8701	21048
585	8713	21025
586	8730	21014
587	8745	21001
588	8759	20984
589	8773	20968
590	8786	20948
591	8798	20927
592	8814	20914
593	8824	20887
594	8835	20864
595	8844	20835
596	8858	20818
597	8874	20806
598	8889	20792
599	8902	20773
600	8917	20757
601	8931	20741
602	8942	20716
603	8952	20692
604	8963	20668
605	8973	20642
606	8987	20624
607	9003	20614
608	9014	20590
609	9025	20566
610	9038	20548
611	9051	20528
612	9066	20514
613	9080	20497
614	9093	20478
615	9105	20456
616	9119	20441
617	9138	20436
618	9150	20415
619	9165	20400
620	9179	20384
621	9197	20375
622	9210	20357
623	9223	20339
624	9236	20320
625	9250	20304
626	9268	20295
627	9281	20278
628	9298	20266
629	9312	20251
630	9326	20235
631	9339	20215
632	9355	20203
633	9367	20182
634	9379	20163
635	9393	20146
636	9410	20136
637	9425	20121
638	9439	20104
639	9450	20083
640	9461	20060
641	9474	20041
642	9486	20020
643	9497	19996
644	9510	19980
645	9527	19969
646	9539	19948
647	9550	19926
648	9561	19903
649	9574	19884
650	9588	19869
651	9601	19851
652	9613	19829
653	9627	19814
654	9639	19793
655	9651	19773
656	9663	19752
657	9675	19734
658	9689	19718
659	9703	19700
660	9715	19681
661	9727	19660
662	9737	19637
663	9751	19619
664	9763	19599
665	9778	19585
666	9790	19565
667	9804	19551
668	9817	19532
669	9829	19512
670	9841	19491
671	9851	19469
672	9866	19454
673	9878	19435
674	9889	19413
675	9903	19396
676	9914	19375
677	9925	19354
678	9937	19332
