iter	Logloss
0	0.6284899338
1	0.5791018492
2	0.5310884817
3	0.4865846905
4	0.4485436203
5	0.4104775273
6	0.3739367653
7	0.3490279771
8	0.3231820105
9	0.2995860723
10	0.2773694529
11	0.2587819431
12	0.2422877637
13	0.226562459
14	0.2150051103
15	0.2029765843
16	0.1914475231
17	0.1821688433
18	0.1734893995
19	0.1640945406
20	0.154544113
21	0.1490461753
22	0.1421253174
23	0.1349002797
24	0.1288142461
25	0.1229880125
26	0.118624717
27	0.114962934
28	0.1097965221
29	0.1070436499
30	0.1023555023
31	0.09825378797
32	0.09549889352
33	0.09136451818
34	0.08905524029
35	0.08631087511
36	0.08351681704
37	0.08101938334
38	0.07867165429
39	0.0759209856
40	0.07413179053
41	0.07222875514
42	0.06984062752
43	0.06807012682
44	0.06667668716
45	0.06526585194
46	0.06363867039
47	0.06204681698
48	0.06001193774
49	0.05857585503
50	0.05726211852
51	0.05562591464
52	0.05449822789
53	0.05340415866
54	0.05230512471
55	0.05147414038
56	0.05038549422
57	0.04929416526
58	0.04801753156
59	0.04689849818
60	0.04610214694
61	0.04517214986
62	0.04425236591
63	0.04315379789
64	0.04252788325
65	0.04162914293
66	0.0407864981
67	0.04013550994
68	0.03965822434
69	0.03909758887
70	0.03852271347
71	0.03787137521
72	0.03727028306
73	0.03686402931
74	0.0363287791
75	0.03566780778
76	0.03523398901
77	0.03482430268
78	0.03442773806
79	0.03416151337
80	0.03371431459
81	0.03330159106
82	0.03296936358
83	0.03235579737
84	0.03184980507
85	0.03142605015
86	0.03075229946
87	0.03021973473
88	0.02991069766
89	0.02966068354
90	0.0291407864
91	0.02880772738
92	0.02843840488
93	0.02813664274
94	0.02777157583
95	0.02745303208
96	0.02719982313
97	0.02687855691
98	0.026590684
99	0.02631735096
100	0.02596447386
101	0.02574958164
102	0.02544823483
103	0.02519077737
104	0.02482182498
105	0.02457501693
106	0.02428834458
107	0.02406882846
108	0.02376902908
109	0.02335364349
110	0.02318233064
111	0.02300904968
112	0.02279890569
113	0.02263479171
114	0.02238907991
115	0.02214428406
116	0.02195672437
117	0.0216302019
118	0.02140845171
119	0.02113044202
120	0.0209276728
121	0.02079944574
122	0.02068740519
123	0.02031962252
124	0.02001770821
125	0.01991872219
126	0.0197107874
127	0.01944614255
128	0.01931624502
129	0.01918456388
130	0.01893550089
131	0.01868969509
132	0.01855421267
133	0.01844272146
134	0.01829147255
135	0.01813089728
136	0.01791379829
137	0.01772576925
138	0.01759235283
139	0.017460773
140	0.01739541594
141	0.01725909315
142	0.01704988685
143	0.01685179845
144	0.01669101171
145	0.01652352043
146	0.01636513504
147	0.01619664414
148	0.01606952508
149	0.01594981117
150	0.01586846525
151	0.01570712215
152	0.01553209418
153	0.01541781395
154	0.0151884693
155	0.01501928103
156	0.01494572305
157	0.01481551604
158	0.0147029322
159	0.01462457805
160	0.01448160583
161	0.0143554629
162	0.01422606574
163	0.01410910958
164	0.01397456306
165	0.01381642316
166	0.01368470742
167	0.01353614887
168	0.01344493169
169	0.01338857605
170	0.01326547248
171	0.0131666008
172	0.01300110883
173	0.0129571058
174	0.01287756631
175	0.01276552518
176	0.01265811518
177	0.01258800709
178	0.01240445951
179	0.01229546919
180	0.01219883294
181	0.01205055132
182	0.0119715887
183	0.0119150213
184	0.01182636338
185	0.01173084618
186	0.01165883486
187	0.01156828726
188	0.01149645096
189	0.01140844035
190	0.01128188652
191	0.01116350313
192	0.01104871541
193	0.01096339176
194	0.01088464537
195	0.01082827328
196	0.01075090023
197	0.0106872102
198	0.01065647107
199	0.01056610195
200	0.01049491632
201	0.01041900711
202	0.0103846317
203	0.0103489456
204	0.01028130162
205	0.01022886044
206	0.01014107577
207	0.01004082466
208	0.009971121524
209	0.009859222011
210	0.009813708471
211	0.009742614325
212	0.009665605825
213	0.009585473177
214	0.009540524234
215	0.009484212349
216	0.009420131138
217	0.009362001721
218	0.00928194756
219	0.00921032265
220	0.009165086999
221	0.00910214111
222	0.009006330411
223	0.008979948046
224	0.008935357805
225	0.0088927368
226	0.008823788567
227	0.008791888969
228	0.008725273623
229	0.00866342098
230	0.008616208661
231	0.008591981336
232	0.00855156627
233	0.008460908595
234	0.008430562575
235	0.008365549946
236	0.008346592831
237	0.008308213858
238	0.008283364633
239	0.008251383635
240	0.008225729305
241	0.008185490651
